red,green,blue,off,position,color
704,164,516,0,9,red
678,261,566,14,10,red
517,166,430,64,11,red
528,225,575,2,12,green
515,190,560,6,13,green
390,126,497,12,14,green
594,189,584,32,15,green
643,99,530,3,0,yellow
673,189,663,6,1,yellow
673,117,596,18,2,yellow
752,337,726,26,3,yellow
447,367,309,126,4,blue
580,452,397,21,5,blue
521,272,184,2,6,blue
593,392,324,2,7,blue
725,308,733,0,8,red
703,160,516,1,9,red
680,262,568,12,10,red
517,166,431,64,11,red
529,225,576,1,12,green
516,192,561,5,13,green
389,123,496,13,14,green
591,187,580,35,15,green
644,99,531,2,0,yellow
674,189,661,6,1,yellow
678,121,598,15,2,yellow
752,339,724,26,3,yellow
447,367,308,126,4,blue
580,452,396,21,5,blue
519,270,182,4,6,blue
594,393,325,1,7,blue
725,308,734,0,8,red
703,161,517,0,9,red
680,263,568,12,10,red
517,168,432,63,11,red
527,223,573,3,12,green
517,192,562,4,13,green
386,123,494,15,14,green
594,192,582,33,15,green
646,102,533,0,0,yellow
673,189,660,7,1,yellow
677,120,599,15,2,yellow
752,337,724,26,3,yellow
448,368,308,126,4,blue
578,449,395,23,5,blue
521,272,184,1,6,blue
594,392,325,1,7,blue
726,307,733,0,8,red
704,161,517,0,9,red
681,262,568,12,10,red
517,167,430,64,11,red
530,227,575,1,12,green
517,193,562,4,13,green
390,124,498,12,14,green
592,188,582,34,15,green
642,96,530,4,0,yellow
674,190,662,6,1,yellow
675,120,598,16,2,yellow
749,337,723,27,3,yellow
447,369,310,125,4,blue
580,452,398,20,5,blue
520,270,185,3,6,blue
592,391,324,3,7,blue
725,309,734,0,8,red
704,163,518,0,9,red
681,262,568,12,10,red
518,167,431,64,11,red
529,225,575,2,12,green
518,192,562,4,13,green
390,125,498,12,14,green
593,191,583,33,15,green
643,100,531,2,0,yellow
675,190,663,5,1,yellow
673,116,596,18,2,yellow
752,337,724,26,3,yellow
446,366,308,127,4,blue
580,452,397,21,5,blue
521,273,185,2,6,blue
595,394,326,0,7,blue
725,308,734,0,8,red
700,159,515,3,9,red
679,263,568,12,10,red
516,167,431,64,11,red
528,224,575,3,12,green
519,194,564,3,13,green
389,125,496,13,14,green
590,188,579,36,15,green
644,101,531,2,0,yellow
672,189,659,8,1,yellow
676,122,597,16,2,yellow
753,338,724,26,3,yellow
448,368,309,126,4,blue
580,451,396,21,5,blue
521,270,183,3,6,blue
595,393,325,1,7,blue
725,308,733,0,8,red
704,162,517,0,9,red
682,264,570,10,10,red
516,164,429,66,11,red
530,227,576,1,12,green
518,194,562,4,13,green
389,125,496,14,14,green
592,189,581,35,15,green
644,100,531,2,0,yellow
675,190,662,6,1,yellow
678,122,600,14,2,yellow
749,336,723,28,3,yellow
448,368,310,125,4,blue
579,452,397,21,5,blue
520,272,184,2,6,blue
